model,demand,epq,total_cycle,production_cycle,depletion_cycle,runs,setup,holding,total
435 Jabiru (2) L/S (EXPORT ONLY),5,12,876,4,872,0,0,4059.6,4060
Proto 510 Ghost Freestyler X (2022),1,5,1825,2,1823,0,0,1698.3,1698
Proto 550 Ghost Freestyler X,1,5,1825,2,1823,0,0,1698.3,1698
PROTO QTX  595 Freestyler X (2022),1,5,1825,2,1823,0,0,1698.3,1698
PROTO QTX 555 Freestyler X (2022),1,5,1825,2,1823,0,0,1698.3,1698
QTX 555 Freestyler X (2022),5,12,876,4,872,0,0,4059.6,4060
QTX 595 Freestyler X (2022),5,12,876,4,872,0,0,4059.6,4060
Quintrex 250E Explorer (2) S/S,12,19,578,7,571,1,5000,6382.48,11382
Quintrex 300 Wanderer (2) S/S,50,39,285,14,270,1,5000,12596.999999999998,17597
Quintrex 310 Dart (2) S/S,35,33,344,12,332,1,5000,10827.3,15827
Quintrex 310 Wasp  (2) S/S,20,24,438,9,429,1,5000,7996.8,12997
Quintrex 320 Wanderer (2) S/S,43,36,306,13,292,1,5000,11713.68,16714
Quintrex 320E Explorer (2) S/S,20,24,438,9,429,1,5000,7996.8,12997
Quintrex 350 Dart (2) S/S,29,30,378,11,367,1,5000,9904.199999999999,14904
Quintrex 350E Explorer (2) L/S,10,17,620,6,614,1,5000,5722.2,10722
Quintrex 350E Explorer (2) S/S,11,18,597,7,591,1,5000,6052.68,11053
Quintrex 360 Wanderer (2) S/S,52,40,281,15,266,1,5000,12892.800000000001,17893
Quintrex 370 Dart (2) L/S,31,31,365,11,354,1,5000,10213.259999999998,15213
Quintrex 370 Dart HDW ((2) L/S,18,23,466,8,458,1,5000,7679.24,12679
Quintrex 370E Explorer (2) L/S,24,27,411,10,401,1,5000,8959.68,13960
Quintrex 400 Dart (2) L/S,19,24,461,9,452,1,5000,8004.96,13005
Quintrex 400 Trigger L/S,64,45,257,16,240,1,5000,14320.8,19321
Quintrex 420 Busta TS L/S,276,106,140,39,101,3,15000,26092.96,41093
Quintrex 420 Dory Blade (2) L/S,12,19,578,7,571,1,5000,6382.48,11382
Quintrex 420 Renegade SC,260,102,143,37,106,3,15000,25663.2,40663
Quintrex 420 Renegade TS,168,77,167,28,139,2,10000,21781.76,31782
Quintrex 430 Fishabout (2021),85,52,223,19,204,2,10000,16177.199999999999,26177
Quintrex 430 Fishabout (2022),118,63,195,23,172,2,10000,18892.440000000002,28892
Quintrex 430 Fishabout Pro (2021),18,23,466,8,458,1,5000,7679.24,12679
Quintrex 430 Fishabout Pro (2022),43,36,306,13,292,1,5000,11713.68,16714
Quintrex 430 Top Ender (2021),11,18,597,7,591,1,5000,6052.68,11053
Quintrex 430 Top Ender (2022),15,21,511,8,503,1,5000,7032.9,12033
Quintrex 430 Top Ender Pro (2021),6,13,791,5,786,0,0,4393.4800000000005,4393
Quintrex 430 Top Ender Pro (2022),13,20,562,7,554,1,5000,6711.599999999999,11712
Quintrex 440 Busta TS L/S,54,41,277,15,262,1,5000,13187.24,18187
Quintrex 440 Dory Blade  (2) L/S,1,5,1825,2,1823,0,0,1698.3,1698
Quintrex 440 Renegade CC,3,9,1095,3,1092,0,0,3050.82,3051
Quintrex 440 Renegade SC,56,42,274,15,258,1,5000,13480.319999999998,18480
Quintrex 440 Renegade TS,27,29,392,11,381,1,5000,9593.779999999999,14594
Quintrex 450 Fishabout,66,46,254,17,238,1,5000,14607.76,19608
Quintrex 450 Fishabout Pro,29,30,378,11,367,1,5000,9904.199999999999,14904
Quintrex 450 Hornet,11,18,597,7,591,1,5000,6052.68,11053
Quintrex 450 Hornet Pro,20,24,438,9,429,1,5000,7996.8,12997
Quintrex 450 Top Ender,22,26,431,9,422,1,5000,8645.52,13646
Quintrex 450 Top Ender Pro,15,21,511,8,503,1,5000,7032.9,12033
Quintrex 460 Dory Blade (2) L/S,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex 460 Renegade CC,19,24,461,9,452,1,5000,8004.96,13005
Quintrex 460 Renegade SC,228,93,149,34,115,2,10000,24410.640000000003,34411
Quintrex 460 Renegade TS,57,42,269,15,254,1,5000,13466.039999999997,18466
Quintrex 481 Cruiseabout,27,29,392,11,381,1,5000,9593.779999999999,14594
Quintrex 481 Cruiseabout Pro,23,26,413,9,403,1,5000,8636.68,13637
Quintrex 481 Fishabout,102,58,208,21,186,2,10000,17708.56,27709
Quintrex 481 Fishabout Pro,38,34,327,12,314,1,5000,11120.72,16121
Quintrex 481 Hornet ,4,11,1004,4,1000,0,0,3725.04,3725
Quintrex 481 Hornet Pro,24,27,411,10,401,1,5000,8959.68,13960
Quintrex 481 Top Ender ,22,26,431,9,422,1,5000,8645.52,13646
Quintrex 481 Top Ender Pro ,35,33,344,12,332,1,5000,10827.3,15827
Quintrex 490 Renegade CC,19,24,461,9,452,1,5000,8004.96,13005
Quintrex 490 Renegade SC,61,44,263,16,247,1,5000,14047.44,19047
Quintrex 500 Cruiseabout,23,26,413,9,403,1,5000,8636.68,13637
Quintrex 500 Cruiseabout Pro ,19,24,461,9,452,1,5000,8004.96,13005
Quintrex 500 Fishabout ,21,25,435,9,425,1,5000,8321.5,13322
Quintrex 500 Fishabout Pro,35,33,344,12,332,1,5000,10827.3,15827
